# Lift Force per Rib
# Lift data span [m]: -9.3740 to 9.3740
# Actual wing span [m]: -9.4000 to 9.4000
# Force = integral of lift distribution over rib's domain
# Domain: midpoint to prev rib -> midpoint to next rib
# Endpoints use wing tip instead of midpoint
# Extrapolation: linear taper to 0 beyond lift data range
rib_position [m],force [N]
-9.4,1.030968
-9.25,5.122643
-9.05,7.981529
-8.85,9.355034
-8.65,10.352100
-8.45,11.071748
-8.25,11.597408
-8.05,12.010395
-7.85,12.315360
-7.65,12.583711
-7.45,12.786925
-7.25,12.966561
-7.05,13.116764
-6.85,13.237593
-6.65,13.353841
-6.45,13.442005
-6.25,13.525384
-6.05,13.601428
-5.85,13.661502
-5.65,13.721018
-5.45,13.774368
-5.25,13.818227
-5.05,13.861981
-4.85,12.162367
-4.7,12.187208
-4.5,13.958413
-4.3,13.990095
-4.1,14.015606
-3.9,14.039290
-3.7,14.062974
-3.5,14.083501
-3.3,14.100771
-3.1,14.118040
-2.9,14.134609
-2.7,14.147424
-2.5,14.159682
-2.3,14.171941
-2.1,14.182253
-1.9,14.190424
-1.7,14.198593
-1.5,14.206540
-1.3,14.211912
-1.1,14.216549
-0.9,14.221187
-0.7,14.225078
-0.5,24.897749
0.0,35.573817
0.5,24.897749
0.7,14.225078
0.9,14.221187
1.1,14.216549
1.3,14.211912
1.5,14.206540
1.7,14.198593
1.9,14.190424
2.1,14.182253
2.3,14.171941
2.5,14.159682
2.7,14.147424
2.9,14.134609
3.1,14.118040
3.3,14.100771
3.5,14.083501
3.7,14.062974
3.9,14.039290
4.1,14.015606
4.3,13.990095
4.5,13.958413
4.7,12.187208
4.85,12.162367
5.05,13.861981
5.25,13.818227
5.45,13.774368
5.65,13.721018
5.85,13.661502
6.05,13.601428
6.25,13.525384
6.45,13.442005
6.65,13.353841
6.85,13.237593
7.05,13.116764
7.25,12.966561
7.45,12.786925
7.65,12.583711
7.85,12.315360
8.05,12.010395
8.25,11.597408
8.45,11.071748
8.65,10.352100
8.85,9.355034
9.05,7.981529
9.25,5.122643
9.4,1.030968
# Total lift force: 1235.92 N
