# Lift Force Distribution (Piecewise Linear)
# Velocity [m/s]: 8.5
# Air density [kg/m^3]: 1.225
# Formula: L' [N/m] = 0.5 * rho * V^2 * c * Cl
# Interpolation: Use linear interpolation between data points
y_span [m],chord [m],Cl [-],lift_per_span [N/m]
-9.374,1.4,0.224519,13.909934320625
-9.2872,1.4,0.421233,26.097227244375002
-9.1432,1.4,0.583245,36.134579446875
-8.9428,1.4,0.714321,44.255311104375
-8.6872,1.4,0.826428,51.2008302225
-8.3781,1.4,0.914177,56.637264674375
-8.0174,1.4,0.975523,60.437917763125
-7.6072,1.4,1.020568,63.22865258499999
-7.1501,1.4,1.053702,65.28144884624999
-6.6489,1.4,1.078139,66.79542790812499
-6.1068,1.4,1.096378,67.92541375375001
-5.5269,1.4,1.110305,68.788252334375
-4.9131,1.4,1.121142,69.45965189625001
-4.2689,1.4,1.129509,69.978024151875
-3.5984,1.4,1.135917,70.37502778687501
-2.9057,1.4,1.140744,70.674081555
-2.1951,1.4,1.144259,70.891851183125
-1.471,1.4,1.146646,71.03973627625
-0.7378,1.4,1.148018,71.12473767875
-0.0,1.4,1.148463,71.152307375625
0.7378,1.4,1.148018,71.12473767875
1.471,1.4,1.146646,71.03973627625
2.1951,1.4,1.144259,70.891851183125
2.9057,1.4,1.140744,70.674081555
3.5984,1.4,1.135917,70.37502778687501
4.2689,1.4,1.129509,69.978024151875
4.9131,1.4,1.121142,69.45965189625001
5.5269,1.4,1.110305,68.788252334375
6.1068,1.4,1.096378,67.92541375375001
6.6489,1.4,1.078139,66.79542790812499
7.1501,1.4,1.053702,65.28144884624999
7.6072,1.4,1.020568,63.22865258499999
8.0174,1.4,0.975523,60.437917763125
8.3781,1.4,0.914177,56.637264674375
8.6872,1.4,0.826428,51.2008302225
8.9428,1.4,0.714321,44.255311104375
9.1432,1.4,0.583245,36.134579446875
9.2872,1.4,0.421233,26.097227244375002
9.374,1.4,0.224519,13.909934320625
